Rad = 05,00 Teff = 3560,0
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7230E009; NewMaxFlx = 1,7600
Rad = 25,00 Teff = 4060,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7496E009; NewMaxFlx = 1,0234
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1242E009; NewMaxFlx = 1,2450
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,7759E009; NewMaxFlx = 1,4828
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7343E009; NewMaxFlx = 1,7527
Rad = 25,00 Teff = 4160,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7565E009; NewMaxFlx = 1,0194
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1336E009; NewMaxFlx = 1,2395
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,7940E009; NewMaxFlx = 1,4757
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7465E009; NewMaxFlx = 1,7450
Rad = 25,00 Teff = 4260,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7652E009; NewMaxFlx = 1,0144
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1447E009; NewMaxFlx = 1,2331
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8141E009; NewMaxFlx = 1,4680
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7599E009; NewMaxFlx = 1,7365
Rad = 25,00 Teff = 4360,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7762E009; NewMaxFlx = 1,0081
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1578E009; NewMaxFlx = 1,2256
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8366E009; NewMaxFlx = 1,4594
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7746E009; NewMaxFlx = 1,7273
Rad = 25,00 Teff = 4460,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,7898E009; NewMaxFlx = 1,0004
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 2,1733E009; NewMaxFlx = 1,2169
Rc-band;	Unspotted brigtness = 3,9170E009; Spotted brightness = 3,8615E009; NewMaxFlx = 1,4499
Ic-band;	Unspotted brigtness = 2,8255E009; Spotted brightness = 2,7907E009; NewMaxFlx = 1,7174
Rad = 35,00 Teff = 3560,0
B-band;	Unspotted brigtness = 1,8245E009; Spotted brightness = 1,6254E009; NewMaxFlx = 1,1016
V-band;	Unspotted brigtness = 2,2101E009; Spotted brightness = 1,9707E009; NewMaxFlx = 1,3420
